食品分類,樣品名稱,俗名,粗蛋白(g),粗脂肪(g),飽和脂肪(g),總碳水化合物(g),糖質總量(g),鈉(mg),反式脂肪(mg),酒精含量(g)
穀物類,糯高梁,,10.7,1.0,0.2,75.7,,0.0,,
穀物類,黑麥片,,7.8,1.2,0.3,77.3,,1.0,,
穀物類,燕麥,,10.9,10.2,1.9,67.4,,4.0,,
穀物類,燕麥片,,12.3,9.7,,64.1,,3.0,,
穀物類,即食燕麥片,,11.9,9.6,1.7,67.9,0.9,3.0,,
穀物類,蕎麥(甜蕎),三角米,11.0,2.9,0.6,71.3,,2.0,,
穀物類,薏仁,"薏仁,薏苡仁",14.1,6.1,0.9,66.2,,2.0,,
穀物類,糙薏仁,紅薏仁,13.7,7.4,1.1,65.9,0.4,1.0,,
穀物類,薏仁粉,,10.9,3.5,0.5,80.0,,11.0,,
穀物類,紅藜麥,,12.1,6.7,0.9,66.8,1.6,2.0,0.0,
穀物類,台灣藜(紅)(帶殼),"藜,赤藜,紫藜,紅心藜,紅藜,食用藜",14.9,8.5,1.4,62.3,2.8,1.0,13.0,
澱粉類,淮山,"山芋,山薯,田薯,薯蕷,長薯;淮山(加工後)",5.3,0.3,0.1,82.4,,11.0,,
澱粉類,山藥平均值,"山芋,山薯,田薯,薯蕷,長薯;淮山(加工後)",2.8,0.1,0.1,17.8,0.3,4.0,0.0,
澱粉類,山藥(二刺),"山芋,山薯,田薯,薯蕷,長薯;淮山(加工後)",2.7,0.1,,18.9,,2.0,,
澱粉類,山藥(大汕1號),"山芋,山薯,田薯,薯蕷,長薯;淮山(加工後)",2.4,0.1,,17.0,,4.0,,
澱粉類,山藥(大汕3號),"山芋,山薯,田薯,薯蕷,長薯;淮山(加工後)",2.6,0.1,,15.0,,2.0,,
澱粉類,山藥(大刺),"山芋,山薯,田薯,薯蕷,長薯;淮山(加工後)",3.5,0.1,,17.1,,8.0,,
澱粉類,山藥(中國長品),"山芋,山薯,田薯,薯蕷,長薯;淮山(加工後)",2.5,0.1,,15.5,,1.0,,
