食品分類,樣品名稱,俗名,粗蛋白(g),粗脂肪(g),飽和脂肪(g),總碳水化合物(g),糖質總量(g),鈉(mg),反式脂肪(mg),酒精含量(g)
蔬菜類,大心芥菜,"大心菜,菜心,大骨芥菜,大莖菜",1.0,0.0,,2.5,,12.0,,
蔬菜類,大芥菜,"芥菜,大心芥菜,大葉芥菜,長年菜,孤腰菜",0.8,0.5,,3.4,,35.0,,
蔬菜類,包心芥菜,"包心刈菜,捲心芥菜",1.0,0.5,0.1,2.7,1.4,15.0,,
蔬菜類,芥菜平均值,"刈菜,大菜,芥葉菜,雞冠菜,孤腰菜",1.5,0.2,0.0,3.5,0.8,9.0,,
蔬菜類,芥菜,"刈菜,大菜,芥葉菜,雞冠菜,孤腰菜",1.6,0.1,,3.2,1.3,3.0,,
蔬菜類,雪裡蕻,"雪裡(裏)紅,雪菜,多葉藺蕓苔,千筋葉菜,春不老",1.5,0.2,0.0,3.8,0.3,14.0,,
蔬菜類,抱子芥菜,娃娃菜,2.1,0.1,0.0,3.8,1.7,4.0,0.0,
蔬菜類,芥藍菜,"芥蘭菜,格藍菜,綠葉甘藍,佛光菜,隔暝仔菜",1.7,0.3,0.1,3.2,0.0,27.0,,
蔬菜類,芥藍芽,"菜嬰,格藍菜嬰",2.2,0.3,,4.5,,7.0,,
蔬菜類,芫荽,"香菜,香荽,胡荽,蒝荽,芫蓑,松鬚菜",2.3,0.3,,4.5,,17.0,,
蔬菜類,紅梗珍珠菜,"角菜,香芹(甜)菜,山芹菜,甜菜,乳白艾,香甜菜,納艾香",2.6,1.0,,5.6,,12.0,,
蔬菜類,食茱萸,"刺?,紅刺?,刺江某,越椒,艾子,茱萸,刺公牡",11.9,0.3,,23.8,,5.0,,
蔬菜類,香樁,"椿,紅椿(樹),椿樹,杶,春芽(陽)樹,椿樗,?,虎目樹,大眼桐,栲,大紅椿樹",4.3,1.5,,19.4,,17.0,,
蔬菜類,茴香,"蘹香,小茴香,茴香子,臭蒝荽,客人蒝荽,香絲菜,茴香八角珠,蒝荽",2.2,0.2,0.0,4.1,0.7,50.0,,
蔬菜類,馬齒莧,"豬母乳(菜/草),寶釧菜,長命菜,荷蘭菜,馬尺莧,瓜子菜,五行(才)草,馬子菜,地馬菜,醬瓣頭草",1.2,0.4,,1.9,,94.0,,
蔬菜類,茼蒿,"茼蒿菜,春菊,打某(妻)菜,苳蒿菜,花冠菊,艾菜,蓬蒿,菊蒿菜,菊花菜,實盡菜",1.7,0.3,0.1,2.2,0.0,69.0,,
蔬菜類,日本茼蒿(有機),"春菊,山茼蒿,小葉茼蒿",1.9,0.2,0.1,4.8,0.4,179.0,0.0,
蔬菜類,昭和草,"山茼蒿,野茼蒿,太子原,飛機草,神仙草",2.2,0.7,,3.8,,9.0,,
蔬菜類,隼人瓜苗,"隼人瓜鬚,佛手瓜苗(鬚),香櫞瓜苗(鬚),梨瓜苗(鬚),番瓜鬚(龍鬚菜是誤用)",3.3,0.2,,3.5,,3.0,,
蔬菜類,白莧菜,"杏菜,荇菜,莕菜,茵菜,白杏菜,白荇菜",1.9,0.3,,2.6,,20.0,,
蔬菜類,紅莧菜,"紅莧,虎菜,紅虎莧,赤莧,紅杏(荇)菜,赤杏菜,紫杏(莧)菜",2.6,0.3,0.1,3.3,0.2,12.0,0.0,
蔬菜類,野莧菜,"野莧(杏),綠莧,豬莧,鳥仔莧(杏),假莧(杏)菜,山荇(杏,莧)菜,",6.3,0.6,,4.9,,20.0,,
蔬菜類,紫蘇,"蘇草,紅(赤/綠/青)紫蘇,桂荏",5.5,1.2,0.7,11.9,0.4,1.0,,
蔬菜類,菠菜,"菠菱菜,赤根菜,飛龍菜,角菜,波斯草,波斯菜,波菱菜",2.2,0.3,0.1,2.4,0.0,43.0,,
蔬菜類,菠菜(葉)(有機),"菠菱菜,赤根菜,飛龍菜,角菜,波斯草,波斯菜,波菱菜",3.3,0.4,0.1,3.6,0.0,106.0,0.0,
蔬菜類,冷凍菠菜,"菠菱菜,赤根菜,飛龍菜,角菜,波斯草,波斯菜,波菱菜",2.1,0.0,,2.9,,46.0,,
蔬菜類,菾菜,"葉用甜菜,莙薘菜,牛皮菜,豬?菜",2.0,0.1,,3.7,0.6,108.0,,
蔬菜類,黃金菾菜,"黃金火焰菜,君達菜,甜菜",2.4,0.2,0.1,2.6,0.4,77.0,,
蔬菜類,落葵,"皇宮菜,蟳菜,胭(臙)脂菜,紅落葵,潺菜,蔠菜,藤葵,藤菜,天葵,御菜,牛皮凍",2.7,0.3,,6.0,,49.0,,
蔬菜類,藤三七,"洋落葵,蔓安迪,落葵安迪,藤子三七,雲南白藥,小年藥,馬德拉藤,金錢珠,中枝蓮(習以川七誤稱)",1.6,0.5,0.2,3.2,0.0,25.0,,
蔬菜類,不結球萵苣平均值,"葉萵苣,葉萵,萵仔菜,刈葉萵苣,生菜,妹(媚)仔菜,鵝仔菜(草),春不老,印度萵苣",1.1,0.3,0.1,2.8,0.6,8.0,,
蔬菜類,奶油萵苣(日本種),"葉萵苣,葉萵,萵仔菜,刈葉萵苣,生菜,妹(媚)仔菜,鵝仔菜(草),春不老,印度萵苣",1.1,0.3,0.1,2.6,0.7,1.0,,
蔬菜類,紅葉萵苣(荷蘭種）,"彩葉萵苣,彩色媚仔菜,紅色萵苣菜,紅萵仔菜",1.4,0.3,0.1,2.5,0.6,1.0,,
蔬菜類,廣東萵苣,"皺葉萵苣,縮葉萵苣,皺萵仔菜,皺妹菜",1.0,0.2,0.0,4.0,,11.0,,
蔬菜類,蘿美萵苣,"葉萵苣,葉萵,萵仔菜,刈葉萵苣,生菜,妹(媚)仔菜,鵝仔菜(草),春不老,印度萵苣(大陸妹)",1.0,0.2,0.1,2.3,0.7,20.0,,
蔬菜類,本島萵苣(土植)(1月取樣),"葉萵苣,葉萵,萵仔菜,刈葉萵苣,生菜,妹(媚)仔菜,鵝仔菜(草),春不老,印度萵苣",1.6,0.4,,2.5,,65.0,,
蔬菜類,本島萵苣(土植)(3月取樣),"葉萵苣,葉萵,萵仔菜,刈葉萵苣,生菜,妹(媚)仔菜,鵝仔菜(草),春不老,印度萵苣",0.3,0.3,0.1,3.8,0.3,9.0,,
蔬菜類,本島萵苣(土植)(4月取樣),"葉萵苣,葉萵,萵仔菜,刈葉萵苣,生菜,妹(媚)仔菜,鵝仔菜(草),春不老,印度萵苣",0.9,0.2,,3.3,,46.0,,
蔬菜類,本島萵苣(土植)(7月取樣),"葉萵苣,葉萵,萵仔菜,刈葉萵苣,生菜,妹(媚)仔菜,鵝仔菜(草),春不老,印度萵苣",1.4,0.3,,4.4,,90.0,,
蔬菜類,本島萵苣(土植)(10月取樣),"葉萵苣,葉萵,萵仔菜,刈葉萵苣,生菜,妹(媚)仔菜,鵝仔菜(草),春不老,印度萵苣",1.1,0.3,,2.2,,7.0,,
蔬菜類,本島萵苣(水耕)(1月取樣),"葉萵苣,葉萵,萵仔菜,刈葉萵苣,生菜,妹(媚)仔菜,鵝仔菜(草),春不老,印度萵苣",1.6,0.2,,2.1,,3.0,,
蔬菜類,本島萵苣(水耕)(4月取樣),"葉萵苣,葉萵,萵仔菜,刈葉萵苣,生菜,妹(媚)仔菜,鵝仔菜(草),春不老,印度萵苣",1.0,0.2,,2.7,,2.0,,
蔬菜類,本島萵苣(水耕)(7月取樣),"葉萵苣,葉萵,萵仔菜,刈葉萵苣,生菜,妹(媚)仔菜,鵝仔菜(草),春不老,印度萵苣",1.4,0.2,,1.9,,3.0,,
蔬菜類,本島萵苣(水耕)(10月取樣),"葉萵苣,葉萵,萵仔菜,刈葉萵苣,生菜,妹(媚)仔菜,鵝仔菜(草),春不老,印度萵苣",1.1,0.3,,1.6,,3.0,,
蔬菜類,本島萵苣(有機)(1月取樣),"葉萵苣,葉萵,萵仔菜,刈葉萵苣,生菜,妹(媚)仔菜,鵝仔菜(草),春不老,印度萵苣",1.8,0.0,,2.6,,47.0,,
蔬菜類,本島萵苣(有機)(4月取樣),"葉萵苣,葉萵,萵仔菜,刈葉萵苣,生菜,妹(媚)仔菜,鵝仔菜(草),春不老,印度萵苣",1.1,0.3,,3.5,,13.0,,
蔬菜類,本島萵苣(有機)(7月取樣),"葉萵苣,葉萵,萵仔菜,刈葉萵苣,生菜,妹(媚)仔菜,鵝仔菜(草),春不老,印度萵苣",1.5,0.3,,2.7,,17.0,,
蔬菜類,本島萵苣(有機)(10月取樣),"葉萵苣,葉萵,萵仔菜,刈葉萵苣,生菜,妹(媚)仔菜,鵝仔菜(草),春不老,印度萵苣",1.3,0.3,,2.3,,9.0,,
蔬菜類,水耕波士頓萵苣,,1.3,0.7,0.3,1.2,0.3,2.0,0.0,
蔬菜類,結球萵苣,"球萵苣,包心萵苣,捲心萵苣,生菜,包心媚仔菜,結球妹仔菜",0.7,0.1,,2.8,1.5,7.0,,
蔬菜類,豌豆苗,"豆苗,豆鬚,荷蘭豆苗(鬚),飛龍豆苗",3.7,0.5,0.1,4.4,0.0,4.0,,
蔬菜類,龍葵,"黑甜菜,烏甜(田)菜,烏甜仔,烏子(克)菜,烏子茄,苦葵(菜),天茄子,天泡草,老鴉酸漿草",3.8,0.3,,3.4,,32.0,,
蔬菜類,蕹菜(土植)(1月取樣),"空心菜,應菜,壅菜,甕菜,草菜,無心菜,藤藤菜,竹葉菜,葛菜",2.0,0.3,,3.5,,166.0,,
蔬菜類,蕹菜(土植)(4月取樣),"空心菜,應菜,壅菜,甕菜,草菜,無心菜,藤藤菜,竹葉菜,葛菜",1.7,0.2,0.1,3.5,0.0,113.0,,
蔬菜類,蕹菜(土植)(7月取樣),"空心菜,應菜,壅菜,甕菜,草菜,無心菜,藤藤菜,竹葉菜,葛菜",1.9,0.1,,2.8,,97.0,,
蔬菜類,蕹菜(土植)(10月取樣),"空心菜,應菜,壅菜,甕菜,草菜,無心菜,藤藤菜,竹葉菜,葛菜",1.8,0.3,,2.6,,122.0,,
蔬菜類,蕹菜(水耕)(1月取樣),"空心菜,應菜,壅菜,甕菜,草菜,無心菜,藤藤菜,竹葉菜,葛菜",2.7,0.3,,4.5,,15.0,,
蔬菜類,蕹菜(水耕)(4月取樣),"空心菜,應菜,壅菜,甕菜,草菜,無心菜,藤藤菜,竹葉菜,葛菜",2.2,0.1,,4.3,,13.0,,
蔬菜類,蕹菜(水耕)(7月取樣),"空心菜,應菜,壅菜,甕菜,草菜,無心菜,藤藤菜,竹葉菜,葛菜",1.9,0.2,,2.7,,8.0,,
蔬菜類,蕹菜(水耕)(10月取樣),"空心菜,應菜,壅菜,甕菜,草菜,無心菜,藤藤菜,竹葉菜,葛菜",2.2,0.3,,3.8,,29.0,,
蔬菜類,蕹菜(有機)(4月取樣),"空心菜,應菜,壅菜,甕菜,草菜,無心菜,藤藤菜,竹葉菜,葛菜",1.9,0.3,,4.7,,62.0,,
蔬菜類,蕹菜(有機)(10月取樣),"空心菜,應菜,壅菜,甕菜,草菜,無心菜,藤藤菜,竹葉菜,葛菜",1.7,0.4,,3.0,,33.0,,
蔬菜類,水蕹菜,,2.6,0.5,0.2,3.3,0.3,41.0,,
蔬菜類,蘿蔔葉,葉蘿蔔,1.7,0.2,,2.0,0.0,214.0,,
蔬菜類,花椰菜,"花菜,菜花,白花菜,白菜花",1.8,0.1,,4.5,2.5,14.0,,
蔬菜類,冷凍花椰菜,"花菜,菜花,白花菜,白菜花",1.3,0.1,,4.5,,33.0,,
蔬菜類,紫色花椰菜,,3.1,0.3,,7.6,,20.0,,
蔬菜類,青花菜(1999年取樣),"(青花菜非綠色花椰菜)青(綠)花菜,美國花菜,青花苔,花(青)菜苔,菜苔,花菜苞",3.7,0.2,0.0,4.4,1.1,15.0,,
蔬菜類,青花菜(2021年取樣),"(青花菜非綠色花椰菜)青(綠)花菜,美國花菜,青花苔,花(青)菜苔,菜苔,花菜苞",3.4,0.4,0.2,6.5,1.8,13.0,0.0,
蔬菜類,冷凍青花菜,"(青花菜非綠色花椰菜)青(綠)花菜,美國花菜,青花苔,花(青)菜苔,菜苔,花菜苞",2.5,0.2,0.0,4.4,,11.0,,
蔬菜類,青花菜筍,,3.0,0.5,0.3,5.1,0.9,6.0,,
蔬菜類,花椰菜乾,,16.0,0.6,,62.5,,177.0,,
蔬菜類,金針菜,"萱草,金針花,金針,黃花(菜),萱花",2.4,0.5,0.2,7.4,3.0,2.0,,
蔬菜類,金針菜乾,"萱草,金針花,金針,黃花(菜),萱花",14.3,1.8,,65.4,,1485.0,,
蔬菜類,洛神花乾,"玫瑰茄,洛神葵,洛神果,洛濟葵",9.0,0.6,0.3,71.2,4.4,17.0,3.0,
蔬菜類,絲瓜花,菜瓜花,3.9,0.3,,4.8,,6.0,,
蔬菜類,冬瓜平均值,"白瓜,東瓜,枕瓜,水芝,地芝",0.4,0.1,0.0,2.4,1.4,2.0,,
蔬菜類,冬瓜,"白瓜,東瓜,枕瓜,水芝,地芝",0.4,0.1,,2.7,,3.0,,
蔬菜類,香芋冬瓜,"白瓜,東瓜,枕瓜,水芝,地芝",0.4,0.0,0.0,2.0,1.4,1.0,,
蔬菜類,冬瓜(2022年取樣),"白瓜,東瓜,枕瓜,水芝,地芝",0.4,0.0,0.0,5.1,1.5,0.0,0.0,
蔬菜類,南瓜平均值,"金瓜,飯瓜,番(翻)瓜,倭(窩)瓜,紅(冬/西洋)南瓜,南瓜,北瓜,玉瓜,筍瓜",1.9,0.2,0.1,17.3,5.4,1.0,,
蔬菜類,日本南瓜,"金瓜,飯瓜,番(翻)瓜,倭(窩)瓜,紅(冬/西洋)南瓜,南瓜,北瓜,玉瓜,筍瓜",0.6,0.4,,20.8,,3.0,,
蔬菜類,台灣南瓜,"金瓜,飯瓜,番(翻)瓜,倭(窩)瓜,紅(冬/西洋)南瓜,南瓜,北瓜,玉瓜,筍瓜",1.7,0.2,,11.1,,1.0,,
蔬菜類,栗子南瓜,"金瓜,飯瓜,番(翻)瓜,倭(窩)瓜,紅(冬/西洋)南瓜,南瓜,北瓜,玉瓜,筍瓜",1.4,0.2,0.1,20.7,5.4,1.0,,
蔬菜類,菊花南瓜,"金瓜,飯瓜,番(翻)瓜,倭(窩)瓜,紅(冬/西洋)南瓜,南瓜,北瓜,玉瓜,筍瓜",3.8,0.1,,16.8,,1.0,,
蔬菜類,胡瓜,"大黃瓜,刺瓜,黃瓜,生瓜,王瓜,花瓜,黑瓜,大瓜",0.7,0.1,,2.9,2.3,3.0,,
蔬菜類,花胡瓜(有機),"小黃瓜,花瓜,小胡瓜,小刺瓜",0.8,0.1,0.1,3.1,1.3,1.0,0.0,
蔬菜類,苦瓜(白皮),"錦荔枝,癩蒲萄,涼瓜,癩瓜,紅姑娘",0.9,0.1,0.1,4.1,0.5,3.0,,
蔬菜類,苦瓜(青皮),"錦荔枝,癩蒲萄,涼瓜,癩瓜,紅姑娘",0.9,0.1,0.1,4.2,0.5,1.0,,
蔬菜類,珍珠苦瓜,"錦荔枝,癩蒲萄,涼瓜,癩瓜,紅姑娘(青苦瓜)",0.7,0.1,,4.2,,0.0,,
蔬菜類,野苦瓜,"山苦瓜,青小苦瓜,小苦瓜,野生苦瓜,短苦瓜,野癩瓜",1.7,0.6,,5.3,,6.0,,
蔬菜類,隼人瓜,"梨瓜,壽瓜,合掌瓜,安南瓜,香瓜仔,拳頭瓜,佛掌瓜、香圓瓜,香櫞瓜,佛手瓜,瓦瓜",0.7,0.1,,5.2,2.8,6.0,,
蔬菜類,隼人瓜(2023年取樣),"梨瓜,壽瓜,合掌瓜,安南瓜,香瓜仔,拳頭瓜,佛掌瓜、香圓瓜,香櫞瓜,佛手瓜,瓦瓜",0.7,0.2,0.2,4.5,2.9,0.0,0.0,
蔬菜類,白皮蛇瓜,"蛇王瓜,毛烏瓜",1.4,0.3,,3.2,,22.0,,
蔬菜類,綠皮蛇瓜,"蛇王瓜,毛烏瓜",1.9,0.6,,5.6,,10.0,,
蔬菜類,絲瓜,"菜瓜,布瓜,蠻瓜,天絲瓜,水瓜,天羅,天絡,仙人拐,魚?",1.1,0.1,0.1,3.9,2.1,0.0,,
蔬菜類,稜角絲瓜,"澎湖絲瓜,十角絲瓜,十捻菜瓜,角瓜,廣東絲瓜,雨傘絲瓜,金門絲瓜,香港絲瓜",0.9,0.2,,4.1,,5.0,,
蔬菜類,越瓜,"醃瓜,菴瓜,梢瓜,酥瓜,甜瓜,羊角瓜,稍瓜,生瓜,白瓜,青瓜,百香胡瓜",0.6,0.1,,4.1,,2.0,,
蔬菜類,蒲瓜平均值,"扁蒲,蒲仔,瓠子(瓜/餔),匏仔(瓜),葫蘆瓜,瓢簞,天瓜,龍蛋瓜,蒲(葫/壺)蘆",0.5,0.1,0.1,4.0,2.0,1.0,,
蔬菜類,蒲瓜(長形),"扁蒲,蒲仔,瓠瓜,匏瓜,葫蘆瓜,瓢簞,天瓜,龍蛋瓜,蒲(葫/壺)蘆",0.5,0.1,,4.2,,2.0,,
蔬菜類,蒲瓜(圓形),"扁蒲,蒲仔,瓠瓜,匏瓜,葫蘆瓜,瓢簞,天瓜,龍蛋瓜,蒲(葫/壺)蘆",0.6,0.1,0.0,4.0,2.4,0.0,,
蔬菜類,花蒲瓜(圓形),"扁蒲,蒲仔,瓠瓜,匏瓜,葫蘆瓜,瓢簞,天瓜,龍蛋瓜,蒲(葫/壺)蘆",0.3,0.0,,3.5,1.5,0.0,,
蔬菜類,葫蘆瓜,"扁蒲,蒲仔,瓠瓜,匏瓜,葫蘆瓜,瓢簞,天瓜,龍蛋瓜,蒲(葫/壺)蘆",0.5,0.3,,4.1,,0.0,,
蔬菜類,黃櫛瓜,,1.5,0.1,,2.7,,0.0,,
蔬菜類,綠櫛瓜,,2.2,0.0,,1.8,,0.0,,
蔬菜類,枸杞乾,"枸杞,地骨子,甘杞,杞子,枸忌,苦杞,血杞,天精子",12.3,1.3,0.2,77.8,44.1,521.0,0.0,
蔬菜類,長茄子,"茄,茄仔,紅皮菜,紅茄(菜),紅茄仔,落蘇,崑崙瓜,紫瓜,酪酥,小蓏,長茄",1.2,0.2,0.1,5.3,2.3,2.0,,
蔬菜類,圓茄子,"日本茄子,迷你茄",1.0,0.0,,4.5,,2.0,,
蔬菜類,大番茄平均值(紅色系),"柑仔蜜,甘仔(阿)蜜,草柿,臭柿仔,西紅柿,小金瓜,番柿,六月柿,洋柿(茄)子,紅茄,毛臘果",0.8,0.1,0.0,4.1,2.2,2.0,,
蔬菜類,牛番茄,"柑(甘)仔蜜,草(番,西紅,六月)柿,臭柿仔,小金瓜,洋柿(茄)子,紅茄,毛臘果",0.7,0.1,0.1,4.0,2.2,2.0,,
蔬菜類,紅番茄,"柑(甘)仔蜜,草(番,西紅,六月)柿,臭柿仔,小金瓜,洋柿(茄)子,紅茄,毛臘果",0.9,0.0,,4.4,,2.0,,
蔬菜類,桃太郎番茄,"柑(甘)仔蜜,草(番,西紅,六月)柿,臭柿仔,小金瓜,洋柿(茄)子,紅茄,毛臘果",0.7,0.0,,4.0,,3.0,,
蔬菜類,黃番茄,"柑(甘)仔蜜,草(番,西紅,六月)柿,臭柿仔,小金瓜,洋柿(茄)子,紅茄,毛臘果",0.9,0.0,0.0,5.3,2.7,3.0,,
蔬菜類,大番茄平均值(綠色系),"柑仔蜜,甘仔(阿)蜜,草柿,臭柿仔,西紅柿,小金瓜,番柿,六月柿,洋柿(茄)子,紅茄,毛臘果",0.7,0.1,,5.0,2.9,3.0,,
蔬菜類,粉柿番茄,"柑(甘)仔蜜,草(番,西紅,六月)柿,臭柿仔,小金瓜,洋柿(茄)子,紅茄,毛臘果(粉柿仔)",0.8,0.0,,4.0,,2.0,,
蔬菜類,黑柿番茄,"柑(甘)仔蜜,草(番,西紅,六月)柿,臭柿仔,小金瓜,洋柿(茄)子,紅茄,毛臘果",0.4,0.1,,5.6,2.9,1.0,,
蔬菜類,綠番茄,"柑(甘)仔蜜,草(番,西紅,六月)柿,臭柿仔,小金瓜,洋柿(茄)子,紅茄,毛臘果",0.9,0.1,,5.4,,6.0,,
蔬菜類,小番茄平均值(紅色系),"柑仔蜜,甘仔(阿)蜜,草柿,臭柿仔,西紅柿,小金瓜,番柿,六月柿,洋柿(茄)子,紅茄,毛臘果",0.9,0.2,0.1,7.4,5.1,6.0,0.0,
蔬菜類,聖女小番茄,"柑(甘)仔蜜,草(番,西紅,六月)柿,臭柿仔,小金瓜,洋柿(茄)子,紅茄,毛臘果",1.1,0.5,0.3,6.9,5.1,10.0,0.0,
蔬菜類,試交二號小番茄,"柑(甘)仔蜜,草(番,西紅,六月)柿,臭柿仔,小金瓜,洋柿(茄)子,紅茄,毛臘果",0.7,0.0,,7.2,,3.0,,
蔬菜類,櫻桃小番茄,"柑(甘)仔蜜,草(番,西紅,六月)柿,臭柿仔,小金瓜,洋柿(茄)子,紅茄,毛臘果",0.9,0.1,,8.1,,6.0,,
蔬菜類,黃金小蕃茄,"柑(甘)仔蜜,草(番,西紅,六月)柿,臭柿仔,小金瓜,洋柿(茄)子,紅茄,毛臘果",0.8,0.2,0.2,6.8,5.5,3.0,,
蔬菜類,小番茄平均值(橙色系),"柑(甘)仔蜜,草(番,西紅,六月)柿,臭柿仔,小金瓜,洋柿(茄)子,紅茄,毛臘果",1.1,0.2,0.1,6.9,4.3,4.0,,
蔬菜類,金女小番茄,"柑(甘)仔蜜,草(番,西紅,六月)柿,臭柿仔,小金瓜,洋柿(茄)子,紅茄,毛臘果",1.1,0.1,,6.6,4.9,4.0,,
蔬菜類,黃金聖女小番茄,"柑(甘)仔蜜,草(番,西紅,六月)柿,臭柿仔,小金瓜,洋柿(茄)子,紅茄,毛臘果",1.0,0.1,0.0,7.0,4.1,3.0,,
蔬菜類,橙蕃茄,"柑(甘)仔蜜,草(番,西紅,六月)柿,臭柿仔,小金瓜,洋柿(茄)子,紅茄,毛臘果",1.2,0.2,0.1,7.0,3.8,3.0,,
蔬菜類,香瓜茄,"香瓜梨,南美香瓜梨",0.4,0.1,,6.2,5.4,3.0,,
蔬菜類,甜椒平均值(青皮),"青椒,(甜)番椒,青辣椒,大同仔,番羌仔,燈籠椒,生番薑,獅子椒,甘椒,生椒",1.0,0.4,0.2,5.9,2.2,2.0,,
蔬菜類,甜椒(青皮),"甜椒,甜番椒,大同仔,番羌仔,燈籠椒,生番薑,獅子椒,甘椒,生椒(青椒,青辣椒)",0.8,0.3,0.2,4.9,2.6,4.0,,
蔬菜類,小甜椒(青皮),"甜椒,甜番椒,大同仔,番羌仔,燈籠椒,生番薑,獅子椒,甘椒,生椒(青椒,青辣椒)",1.4,0.5,,6.8,,0.0,,
蔬菜類,高山甜椒(青皮),"甜椒,甜番椒,大同仔,番羌仔,燈籠椒,生番薑,獅子椒,甘椒,生椒(青椒,青辣椒)",0.9,0.6,0.2,6.0,1.8,2.0,,
蔬菜類,甜椒(紅皮),"甜椒,甜番椒,大同仔,番羌仔,燈籠椒,生番薑,獅子椒,甘椒,生椒(紅椒,紅番(辣)椒,紅色大唐)",0.8,0.5,,7.1,,1.0,,
蔬菜類,甜椒(黃皮),"甜椒,甜番椒,大同仔,番羌仔,燈籠椒,生番薑,獅子椒,甘椒,生椒",0.8,0.3,,6.0,,1.0,,
蔬菜類,甜椒(橙皮),"甜椒,甜番椒,大同仔,番羌仔,燈籠椒,生番薑,獅子椒,甘椒,生椒",0.9,0.3,0.1,7.7,5.6,2.0,,
蔬菜類,青辣椒平均值,"辣椒,番椒,番仔薑,臘椒(牛角辣椒,羊角辣椒,長辣(番)椒,青辣椒)",1.3,0.3,0.1,6.9,2.2,2.0,,
蔬菜類,角椒,"辣椒,番椒,番仔薑,臘椒",0.9,0.2,,4.7,,2.0,,
蔬菜類,長辣椒(青皮),"辣椒,番椒,番仔薑,臘椒",1.9,0.4,0.1,10.3,2.4,3.0,,
蔬菜類,糯米椒,"辣椒,番椒,番仔薑,臘椒(伏見甘長辣椒)",1.2,0.3,0.1,5.6,2.1,1.0,,
蔬菜類,紅辣椒平均值,"辣椒,番椒,番仔薑,牛角辣椒,羊角辣椒,長辣(番)椒,紅辣椒,臘椒",3.6,0.9,0.4,16.4,3.0,6.0,,
蔬菜類,長辣椒(紅皮),"辣椒,番椒,番仔薑,臘椒",2.4,0.7,0.3,9.3,3.1,14.0,,
蔬菜類,朝天椒(長果),"辣椒,番椒,番仔薑,臘椒,指(向)天椒,赤穗生番椒,叢果番椒,海椒",3.4,1.3,0.6,17.9,2.8,3.0,,
蔬菜類,朝天椒(圓果),"辣椒,番椒,番仔薑,臘椒,指(向)天椒,赤穗生番椒,叢果番椒,海椒(雞心椒)",4.9,0.5,,21.9,,2.0,,
蔬菜類,乾長辣椒(紅皮),"辣椒,番椒,番仔薑,臘椒",19.9,17.2,4.8,47.6,3.9,40.0,,
蔬菜類,黃秋葵,"秋葵,羊角豆,黃蜀葵,食香槿,假三念,黃葵",2.1,0.1,0.1,7.5,2.6,9.0,0.0,
蔬菜類,青花菜芽,"青花椰苗,青花菜苗,花菜苔芽",2.8,1.0,0.1,4.9,0.7,1.0,0.0,
蔬菜類,苜蓿芽,苜蓿嬰,3.2,0.2,0.0,2.5,0.3,65.0,,
蔬菜類,紫甘藍芽,,0.2,0.7,0.1,6.6,0.6,2.0,,
蔬菜類,黃豆芽,大豆芽,5.3,1.6,0.3,5.0,0.4,7.0,,
蔬菜類,"黃豆芽(有機,2023年取樣)",大豆芽,5.1,1.0,0.2,5.0,0.5,2.0,0.0,
蔬菜類,黑豆芽,,6.6,1.1,0.3,6.4,0.8,3.0,0.0,
蔬菜類,葵花芽,,2.5,0.4,0.1,4.3,1.6,1.0,,
蔬菜類,綠豆芽,"豆芽菜,豆菜,綠豆菜",2.3,0.2,,4.1,1.3,16.0,,
蔬菜類,豌豆芽,"豌豆嬰,荷蘭豆芽(嬰)",4.0,0.4,0.2,2.9,0.6,2.0,0.0,
蔬菜類,蕎麥芽,"烏麥芽,花蕎芽,荍麥芽",1.9,0.2,0.0,3.4,,4.0,,
蔬菜類,蘿蔔芽,"蘿蔔嬰,菜頭嬰(苗/芽),菜頭苗,貝芽菜",2.1,0.4,0.1,3.9,0.3,7.0,,
蔬菜類,山蘇菜,"山蘇花,鳥巢蕨,山翅菜,雀(鳥)巢羊齒,歪頭 菜,巢鐵角蕨,掌草",3.0,0.2,0.1,4.4,0.0,5.0,,
蔬菜類,火炭母草,"川七,清飯藤,冷飯藤,雞糞(屎)藤,烏炭子",1.6,0.4,,1.2,,26.0,,
蔬菜類,石蓮花,蓮座草,0.4,0.1,0.0,2.2,0.1,40.0,,
蔬菜類,青葙,"野雞冠,雞冠莧,筆雞冠,草決明",2.5,1.6,,7.7,,44.0,,
蔬菜類,假人蔘,"土人參,參仔葉(草),土高麗參,臺灣(野)參,櫨蘭,東洋參,參草",1.6,2.2,,2.2,,17.0,,
蔬菜類,野苦瓜嫩梢,,5.7,1.7,,12.2,,16.0,,
蔬菜類,過溝菜蕨,"過貓(溝),過貓(溝)菜,蕨山貓,食用雙囊蕨",3.1,0.8,,3.2,,6.0,,
蔬菜類,蔘鬚,,7.0,1.8,0.9,76.2,27.1,32.0,,
蔬菜類,龍骨瓣莕菜,"水蓮菜,野蓮,銀蓮花,水皮蓮,刺種莕菜,捲瓣莕菜",1.1,0.3,0.1,3.1,0.6,111.0,,
蔬菜類,薄荷,"仁丹草,升陽藥,南薄荷,夜息花,野薄荷,新卜荷",3.1,0.6,,10.9,,14.0,,
蔬菜類,蕺菜,"魚腥草,臭腥草,臭臊草,臭瘥草,手藥",3.2,0.9,,7.7,,23.0,,
蔬菜類,蘆薈,盧會,0.1,0.4,,0.2,,18.0,,
蔬菜類,皇宮菜,,2.2,0.3,,3.5,,20.0,,
蔬菜類,香芫荽,,2.4,0.2,,3.9,,74.0,,
